orgName,sector,firstName,lastName,email,socialLink,phone,addressStreet,addressCity,addressState,addressCountry,Role,eventId,eventName,eventDate,connections
Quantiphi,Business,Ram,Charan,ram.charan@quantiphi.com,https://linkedin.com/in/ramcharan,9876543210,21 Example Street,Chicago,IL,USA,Attendee,EVT-2025-001,Tutor/Mentor Spring Conference 2025,2025-03-15,"[{""organization"": ""Community Care"", ""connectionType"": ""Networking"", ""description"": ""Met during Tutor/Mentor Spring Conference 2025""}]"
Tata Consultancy Services,Technology,Kishore,Kumar,kishore.kumar@tcs.com,https://linkedin.com/in/kishorekumar,9876543210,21 Example Street,Chicago,IL,USA,Attendee,EVT-2025-001,Tutor/Mentor Spring Conference 2025,2025-03-15,"[{""organization"": ""Community Care"", ""connectionType"": ""Networking"", ""description"": ""Met during Tutor/Mentor Spring Conference 2025""}]"
IIT Bombay,Education,Charu,Latha,charu.latha@iitb.ac.in,https://linkedin.com/in/charulatha,9876543210,21 Example Street,Chicago,IL,USA,Attendee,EVT-2025-001,Tutor/Mentor Spring Conference 2025,2025-03-15,"[{""organization"": ""Community Care"", ""connectionType"": ""Networking"", ""description"": ""Met during Tutor/Mentor Spring Conference 2025""}]"
Community Care,Non-profit,Person1,Test,person1@communitycare.org,https://linkedin.com/in/person1,900000001,10 Sample Road,Chicago,IL,USA,Participant,EVT-2025-001,Tutor/Mentor Spring Conference 2025,2025-03-15,"[{""organization"": ""Quantiphi"", ""connectionType"": ""Collaboration"", ""description"": ""Discussed projects at Tutor/Mentor Spring Conference 2025""}]"
Urban Youth Alliance,Community,Person2,Test,person2@urbanyouthalliance.org,https://linkedin.com/in/person2,900000002,11 Sample Road,Chicago,IL,USA,Participant,EVT-2025-001,Tutor/Mentor Spring Conference 2025,2025-03-15,[]
City Schools District,Education,Person3,Test,person3@cityschoolsdistrict.org,https://linkedin.com/in/person3,900000003,12 Sample Road,Chicago,IL,USA,Participant,EVT-2025-001,Tutor/Mentor Spring Conference 2025,2025-03-15,"[{""organization"": ""Quantiphi"", ""connectionType"": ""Collaboration"", ""description"": ""Discussed projects at Tutor/Mentor Spring Conference 2025""}]"
HealthFirst Clinic,Health,Person4,Test,person4@healthfirstclinic.org,https://linkedin.com/in/person4,900000004,13 Sample Road,Chicago,IL,USA,Participant,EVT-2025-001,Tutor/Mentor Spring Conference 2025,2025-03-15,[]
Metro Tech Hub,Technology,Person5,Test,person5@metrotechhub.org,https://linkedin.com/in/person5,900000005,14 Sample Road,Chicago,IL,USA,Participant,EVT-2025-001,Tutor/Mentor Spring Conference 2025,2025-03-15,"[{""organization"": ""Quantiphi"", ""connectionType"": ""Collaboration"", ""description"": ""Discussed projects at Tutor/Mentor Spring Conference 2025""}]"
Neighborhood Center,Community,Person6,Test,person6@neighborhoodcenter.org,https://linkedin.com/in/person6,900000006,15 Sample Road,Chicago,IL,USA,Participant,EVT-2025-001,Tutor/Mentor Spring Conference 2025,2025-03-15,[]
Youth Sports League,Sports,Person7,Test,person7@youthsportsleague.org,https://linkedin.com/in/person7,900000007,16 Sample Road,Chicago,IL,USA,Participant,EVT-2025-001,Tutor/Mentor Spring Conference 2025,2025-03-15,"[{""organization"": ""Quantiphi"", ""connectionType"": ""Collaboration"", ""description"": ""Discussed projects at Tutor/Mentor Spring Conference 2025""}]"
